x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3
670.31,0.85548,178.99,0.9948,2994.3,3.1901,36.936,0.13606,0.069885,0.9949,95.597,95.588
734.05,0.92457,155.09,0.97589,2768.3,2.4639,24.676,0.24668,0.078046,0.99584,103.74,103.73
188.89,0.89073,89.15,0.90634,2098.8,2.0269,20.458,0.36214,0.14178,0.98359,51.93,51.935
739.36,0.85326,267.06,0.91216,1231.9,2.5929,6.5219,0.29809,0.2204,0.99402,167.76,167.29
542.65,0.87398,287.38,0.91415,3025.8,1.3851,21.214,0.44343,0.2456,0.9904,583.23,582.76
168.28,0.82011,162.89,0.9013,1287.3,2.7527,4.3398,0.48547,0.096389,0.9768,78.645,78.711
294.95,0.91347,141.88,0.97088,1170.8,1.4516,13.258,0.54612,0.089057,0.98952,85.287,85.202
482.82,0.93011,143.13,0.84316,1472.3,2.6874,31.779,0.58675,0.10334,0.99293,137.04,137.27
770.25,0.96946,123.1,0.91306,1387.7,2.9669,6.7936,0.44502,0.294,0.99624,99.037,99.193
775.42,0.84898,26.341,0.8525,1664.1,3.1632,21.265,0.20138,0.14305,0.99635,28.997,28.973
210.33,0.80529,81.313,0.97854,1419.2,3.1245,26.756,0.24134,0.17787,0.98515,48.353,48.359
779.41,0.92918,153.57,0.96743,2187.2,2.949,21.293,0.25912,0.053862,0.99607,92.499,92.597
770.02,0.96974,108.88,0.97602,2393.3,2.751,31.342,0.45227,0.28525,0.99676,170.67,170.65
439.76,0.87956,88.961,0.86711,1546.7,1.4825,5.9448,0.12348,0.0717,0.99241,19.371,19.44
660.2,0.98613,143.85,0.92203,3099.5,2.7847,19.723,0.33075,0.10638,0.99555,130.23,130.19
199.32,0.85278,298.38,0.95968,3842,3.0283,22.35,0.23422,0.14675,0.97748,155.32,155.33
395.23,0.85645,226.08,0.89937,1505.6,1.4839,14.469,0.41894,0.065873,0.98946,129.38,129.44
741.01,0.93583,146.88,0.88369,2654.2,3.1902,23.703,0.32885,0.16344,0.99566,153.47,153.2
654.55,0.8962,193.62,0.94167,1805.1,2.9658,25.982,0.58535,0.052429,0.99459,250.85,250.84
771.64,0.9623,156.51,0.90657,1981.3,2.4134,8.1166,0.15513,0.08687,0.99583,48.719,48.656
559.02,0.9871,100.1,0.8518,1984.4,2.2023,35.609,0.31835,0.24723,0.99477,89.918,89.956
125,0.80872,211.33,0.86069,3882.8,1.3978,21.227,0.20897,0.081516,0.96386,75.939,75.95
694.39,0.83894,226.32,0.84147,1715,2.774,14.416,0.28375,0.17508,0.99351,144.71,144.42
753.8,0.85109,283.99,0.94317,2482.2,3.1453,26.341,0.32943,0.10507,0.99366,391.96,391.64
575.11,0.88312,273.06,0.93427,1551.1,2.5006,24.623,0.41452,0.29632,0.99227,309.12,308.31
630.42,0.89752,159.01,0.93864,1987.2,2.9435,34.482,0.10819,0.10488,0.99469,70.397,70.375
620.19,0.93607,196.66,0.89439,3979.7,3.4074,1.9466,0.15714,0.16819,0.99418,103.97,103.95
374.56,0.87166,275.23,0.87641,3532.5,3.4285,33.026,0.26547,0.24535,0.98727,267.58,267.52
558.83,0.84195,260.5,0.85988,2143.8,3.058,4.8417,0.21211,0.098634,0.9917,107.33,107.4
219.83,0.87291,227.88,0.89987,1922.8,2.1469,32.414,0.1927,0.10203,0.98134,92.089,92.104
594.23,0.98636,82.616,0.86218,1383,3.93,33.135,0.12712,0.21849,0.99522,55.541,55.524
122.28,0.92096,268.62,0.94482,2900.9,1.4542,29.794,0.22535,0.11997,0.96743,113.87,113.98
293.85,0.87672,17.857,0.8663,1205.9,3.0666,36.783,0.17658,0.20164,0.99138,40.471,40.472
132.32,0.98767,324.28,0.90894,1496.6,3.7025,15.297,0.34668,0.29544,0.96677,206.08,205.94
167.99,0.99503,127.19,0.81415,2840.3,1.1229,9.713,0.33118,0.11099,0.98003,52.977,52.974
676.42,0.99279,132.37,0.91194,3772.4,1.1709,4.7536,0.35868,0.087575,0.99571,100.25,100.23
586.38,0.85159,304.06,0.98758,2639.3,3.2381,17.376,0.55415,0.16389,0.98611,1916.3,1916.3
321.97,0.87472,58.607,0.9108,1551.7,3.902,5.6016,0.28471,0.134,0.99077,22.109,22.134
